epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
55,20778.4,2.20157,1.12939,0.81848,0.5585,0.47525,0.54971,0.19862,2.29863,1.2121,0.74261,0.0009308,0.0009308,0.0009308
56,21050.9,2.17818,1.04378,0.85451,0.68928,0.50516,0.53813,0.19441,2.23745,1.20216,0.73669,0.000911,0.000911,0.000911
57,21322.3,2.25922,1.01507,0.83229,0.80572,0.42574,0.5047,0.17816,2.17993,1.33473,0.73675,0.0008912,0.0008912,0.0008912
58,21593.4,2.24226,0.97717,0.85513,0.68132,0.35644,0.44335,0.16785,2.49475,1.49187,0.74344,0.0008714,0.0008714,0.0008714
59,21865.6,2.119,1.01462,0.85317,0.73844,0.36634,0.4551,0.19318,2.28664,1.23668,0.74473,0.0008516,0.0008516,0.0008516
60,22138.5,2.08016,0.91807,0.84559,0.80588,0.41108,0.49664,0.2017,2.1742,1.34785,0.73301,0.0008318,0.0008318,0.0008318
61,22411.4,2.12413,1.05378,0.84109,0.72082,0.40905,0.48836,0.1802,2.26077,1.29152,0.73729,0.000812,0.000812,0.000812
62,22682.3,2.14317,0.98429,0.83719,0.68209,0.39604,0.48093,0.19923,2.01052,1.19359,0.72878,0.0007922,0.0007922,0.0007922
63,22956.1,2.17918,0.95448,0.84392,0.70599,0.44554,0.58371,0.24667,1.88779,1.08851,0.72389,0.0007724,0.0007724,0.0007724
64,23228.1,2.12942,0.94968,0.82535,0.79529,0.46162,0.62587,0.25976,2.02006,1.14166,0.72607,0.0007526,0.0007526,0.0007526
65,23500.6,2.10603,0.97095,0.82328,0.72211,0.51456,0.60006,0.22929,2.07513,1.01926,0.72473,0.0007328,0.0007328,0.0007328
66,24380.3,2.11002,0.9839,0.82578,0.71962,0.50826,0.59548,0.2402,1.8457,1.03488,0.72131,0.000713,0.000713,0.000713
67,24651.7,2.08478,0.90427,0.82655,0.71932,0.42574,0.53123,0.20823,2.14618,1.23547,0.73499,0.0006932,0.0006932,0.0006932
68,24923.9,2.00265,0.80712,0.82238,0.80437,0.46535,0.59572,0.26592,2.16331,1.29961,0.74039,0.0006734,0.0006734,0.0006734
69,25193.8,2.10967,0.97276,0.85527,0.69285,0.45545,0.49369,0.20893,2.3029,1.30155,0.7423,0.0006536,0.0006536,0.0006536
70,25653.6,2.10173,1.00221,0.81489,0.78924,0.44492,0.55393,0.21002,1.97882,1.1022,0.72542,0.0006338,0.0006338,0.0006338
71,25953.4,2.01315,0.89799,0.83538,0.76584,0.47525,0.56494,0.19591,2.19314,1.17471,0.72526,0.000614,0.000614,0.000614
72,26255.2,2.10042,0.94593,0.83525,0.78977,0.51485,0.63285,0.24541,1.95362,0.95446,0.73012,0.0005942,0.0005942,0.0005942
73,26548.7,2.06598,0.88074,0.83106,0.74398,0.46038,0.52777,0.20099,2.02577,1.0813,0.72655,0.0005744,0.0005744,0.0005744
74,26853.6,2.05652,0.87026,0.81143,0.64731,0.4725,0.50879,0.20371,2.06862,1.24719,0.73103,0.0005546,0.0005546,0.0005546
75,27139.4,1.99378,0.85447,0.82396,0.66417,0.48515,0.58008,0.22856,2.1768,1.26196,0.73532,0.0005348,0.0005348,0.0005348
76,27446.1,2.01606,0.91108,0.8261,0.762,0.53893,0.61362,0.24891,2.17009,1.09346,0.73723,0.000515,0.000515,0.000515
77,27722.3,1.94409,0.83225,0.83118,0.83866,0.56615,0.68303,0.28422,2.03874,0.94778,0.73473,0.0004952,0.0004952,0.0004952
78,27997.2,2.02715,0.86311,0.81437,0.78598,0.54542,0.65265,0.27016,2.03069,0.99684,0.7289,0.0004754,0.0004754,0.0004754
79,28270,1.98583,0.89053,0.81588,0.73916,0.44894,0.58114,0.24054,2.11811,1.04769,0.72936,0.0004556,0.0004556,0.0004556
80,28562.7,1.91264,0.91708,0.81982,0.7644,0.49505,0.56613,0.21433,2.40268,1.15183,0.73989,0.0004358,0.0004358,0.0004358
